Region,Country,Framework Law,Long-term Strategy  (LTS) or 2050+ CC Plan,National Adaptation Plan (NAP),Coordination Mechanism,Local-Level Risk Assessments,Fiscal Risk Statements,Budget Guidelines,CC in Budget,Project Screening,SOE TFCD Framework Compliance,"Subnational Government CC Plans and Strategies 
",Environmental Criteria in Procurement Tenders
ECA,Greece,Yes,No,Yes,Partial,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
LAC,Grenada,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Partial
LAC,Guatemala,Yes,Yes,Yes,Yes,Yes,Yes,No,Partial,Yes,No,No,No
AFRW,Guinea,No,No,No,Yes,No,Partial,No,No,No,No,No,No
AFRW,Guinea-Bissau,No,No,No,No,No,No,Info not found,No,No,No,Yes,No
LAC,Guyana,No,No,No,Yes,No,Yes,Yes,No,Info not found,No,No,No
LAC,Haiti,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No
LAC,Honduras,Yes,No,No,Yes,Partial,Yes,No,Yes,Yes,No,Yes,Partial
ECA,Hungary,No,Yes,No,Yes,Yes,Info not found,No,No,Yes,No,Yes,Yes
ECA,Iceland,Yes,Yes,Yes,Partial,Yes,Info not found,Info not found,No,Yes,Yes,Partial,Yes
SAR,India,No,Yes,No,Yes,Yes,Info not found,No,No,Yes,Yes,Yes,Yes
EAP,Indonesia,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Partial,Partial
MNA,Iraq,No,No,No,Yes,Info not found,No,Info not found,No,No,No,No,No
ECA,Ireland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MNA,Islamic Republic of Iran,No,No,No,Yes,Yes,Info not found,No,No,No,No,No,No
MNA,Israel,No,No,No,Yes,Yes,Info not found,Info not found,No,No,No,Partial,Yes
ECA,Italy,No,No,Yes,Yes,Yes,Info not found,Yes,Yes,Yes,Yes,Yes,Yes
LAC,Jamaica,No,No,No,Yes,No,Yes,No,Partial,Yes,No,No,No
EAP,Japan,Yes,Yes,Yes,Yes,Yes,Info not found,Info not found,No,Yes,Yes,Yes,Yes
MNA,Jordan,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Partial
ECA,Kazakhstan,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Partial,Partial
AFRE,Kenya,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Partial,Partial
EAP,Kiribati,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No
ECA,Kosovo,Yes,No,No,Yes,No,No,No,No,No,No,Partial,Yes
MNA,Kuwait,No,No,Yes,Yes,No,No,No,No,No,No,No,No
ECA,Kyrgyz Republic,No,No,No,Yes,No,Info not found,Info not found,No,No,No,No,Partial
EAP,Lao People's Democratic Republic,No,No,No,No,Yes,Info not found,No,No,Yes,No,No,Partial
ECA,Latvia,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
MNA,Lebanon,No,No,No,Yes,No,Info not found,No,No,No,No,Partial,Partial
AFRE,Lesotho,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Partial
AFRW,Liberia,No,No,Yes,Yes,No,Info not found,No,No,No,No,No,No
MNA,Libya,No,No,No,Yes,No,Info not found,Info not found,No,No,No,No,No
ECA,Lithuania,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes
AFRE,Madagascar,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
AFRE,Malawi,No,No,No,Yes,No,Info not found,Yes,No,No,No,Partial,No
EAP,Malaysia,No,No,No,Yes,Partial,No,No,No,No,Yes,Partial,Yes
SAR,Maldives,Yes,No,No,Partial,No,Yes,No,No,Yes,No,No,No
AFRW,Mali,No,No,No,Yes,No,No,Yes,No,No,No,Partial,No
EAP,Marshall Islands,No,Yes,Yes,Yes,No,Info not found,Info not found,No,No,No,No,No
AFRW,Mauritania,No,No,No,Yes,No,Partial,No,No,No,No,Yes,Partial
AFRE,Mauritius,Yes,No,No,Partial,No,Info not found,Yes,No,No,No,No,Partial
LAC,Mexico,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
ECA,Moldova,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Partial,Yes
EAP,Mongolia,No,No,No,Yes,No,No,No,No,No,No,No,Partial
ECA,Montenegro,Yes,No,No,Partial,Yes,Info not found,Info not found,No,No,No,No,Yes
MNA,Morocco,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Partial,Partial
